Area name,2011 Aged 4 years and under,2021 Aged 4 years and under,2011 Aged 5 to 9 years,2021 Aged 5 to 9 years,2011 Aged 10 to 15 years,2021 Aged 10 to 15 years,2011 Aged 16 to 19 years,2021 Aged 16 to 19 years,2011 Aged 20 to 24 years,2021 Aged 20 to 24 years,2011 Aged 25 to 34 years,2021 Aged 25 to 34 years,2011 Aged 35 to 49 years,2021 Aged 35 to 49 years,2011 Aged 50 to 64 years,2021 Aged 50 to 64 years,2011 Aged 65 to 74 years,2021 Aged 65 to 74 years,2011 Aged 75 to 84 years,2021 Aged 75 to 84 years,2011 Aged 85 years and over,2021 Aged 85 years and over,2011 Percentage: Aged 4 years and under,2021 Percentage: Aged 4 years and under,2011 Percentage: Aged 5 to 9 years,2021 Percentage: Aged 5 to 9 years,2011 Percentage: Aged 10 to 15 years,2021 Percentage: Aged 10 to 15 years,2011 Percentage: Aged 16 to 19 years,2021 Percentage: Aged 16 to 19 years,2011 Percentage: Aged 20 to 24 years,2021 Percentage: Aged 20 to 24 years,2011 Percentage: Aged 25 to 34 years,2021 Percentage: Aged 25 to 34 years,2011 Percentage: Aged 35 to 49 years,2021 Percentage: Aged 35 to 49 years,2011 Percentage: Aged 50 to 64 years,2021 Percentage: Aged 50 to 64 years,2011 Percentage: Aged 65 to 74 years,2021 Percentage: Aged 65 to 74 years,2011 Percentage: Aged 75 to 84 years,2021 Percentage: Aged 75 to 84 years,2011 Percentage: Aged 85 years and over,2021 Percentage: Aged 85 years and over,Percentage point change: Aged 4 years and under,Percentage point change: Aged 5 to 9 years,Percentage point change: Aged 10 to 15 years,Percentage point change: Aged 16 to 19 years,Percentage point change: Aged 20 to 24 years,Percentage point change: Aged 25 to 34 years,Percentage point change: Aged 35 to 49 years,Percentage point change: Aged 50 to 64 years,Percentage point change: Aged 65 to 74 years,Percentage point change: Aged 75 to 84 years,Percentage point change: Aged 85 years and over
Lambeth,"20,701","15,265","16,376","14,939","17,709","18,505","11,103","11,914","26,702","26,755","80,140","81,901","71,183","69,292","35,985","51,826","12,617","15,837","7,725","8,264","2,845","3,164",6.8,4.8,5.4,4.7,5.8,5.8,3.7,3.8,8.8,8.4,26.4,25.8,23.5,21.8,11.9,16.3,4.2,5.0,2.5,2.6,0.9,1.0,-2.0,-0.7,0.0,0.1,-0.4,-0.7,-1.7,4.4,0.8,0.1,0.1
Lewisham,"22,004","19,127","16,665","18,172","18,467","20,841","12,928","12,406","20,883","18,810","55,128","58,434","66,613","72,036","37,062","52,079","13,641","16,092","9,013","8,964","3,481","3,593",8.0,6.4,6.0,6.0,6.7,6.9,4.7,4.1,7.6,6.3,20.0,19.4,24.1,24.0,13.4,17.3,4.9,5.4,3.3,3.0,1.3,1.2,-1.6,0.0,0.2,-0.6,-1.3,-0.5,-0.2,3.9,0.4,-0.3,-0.1
Merton,"14,830","13,532","11,407","13,300","12,616","15,583","8,267","8,264","12,452","11,167","40,781","36,356","46,798","52,598","29,420","37,317","11,880","14,983","7,965","8,501","3,277","3,587",7.4,6.3,5.7,6.2,6.3,7.2,4.1,3.8,6.2,5.2,20.4,16.9,23.4,24.4,14.7,17.3,5.9,7.0,4.0,4.0,1.6,1.7,-1.1,0.5,0.9,-0.3,-1.0,-3.5,1.0,2.6,1.0,0.0,0.0
Newham,"25,384","23,855","20,834","23,326","23,676","27,682","16,322","17,766","32,586","28,285","72,332","72,735","62,186","82,692","34,071","49,531","11,461","15,398","6,796","7,183","2,336","2,586",8.2,6.8,6.8,6.6,7.7,7.9,5.3,5.1,10.6,8.1,23.5,20.7,20.2,23.6,11.1,14.1,3.7,4.4,2.2,2.0,0.8,0.7,-1.4,-0.1,0.2,-0.2,-2.5,-2.8,3.4,3.0,0.7,-0.2,0.0
Redbridge,"21,666","21,194","18,924","21,733","22,268","25,315","14,248","15,425","18,894","18,967","47,749","46,639","58,857","72,127","42,979","50,929","16,817","20,909","11,553","11,802","5,015","5,220",7.8,6.8,6.8,7.0,8.0,8.2,5.1,5.0,6.8,6.1,17.1,15.0,21.1,23.2,15.4,16.4,6.0,6.7,4.1,3.8,1.8,1.7,-0.9,0.2,0.2,-0.1,-0.7,-2.1,2.1,1.0,0.7,-0.3,-0.1
Richmond upon Thames,"14,038","11,103","11,107","12,813","11,793","15,531","7,119","7,849","9,145","8,229","28,572","22,049","47,906","46,948","32,014","39,309","13,023","17,084","8,234","10,222","4,039","4,141",7.5,5.7,5.9,6.6,6.3,8.0,3.8,4.0,4.9,4.2,15.3,11.3,25.6,24.0,17.1,20.1,7.0,8.7,4.4,5.2,2.2,2.1,-1.8,0.6,1.6,0.2,-0.7,-4.0,-1.6,3.0,1.8,0.8,0.0
Southwark,"20,739","16,362","15,562","15,892","17,081","19,246","12,982","13,175","26,996","25,478","68,022","73,224","68,346","68,305","36,226","50,273","11,979","15,068","7,466","7,625","2,884","2,993",7.2,5.3,5.4,5.2,5.9,6.3,4.5,4.3,9.4,8.3,23.6,23.8,23.7,22.2,12.6,16.3,4.2,4.9,2.6,2.5,1.0,1.0,-1.9,-0.2,0.3,-0.2,-1.1,0.2,-1.5,3.8,0.7,-0.1,0.0
Sutton,"12,750","12,796","11,095","14,252","14,143","16,936","9,017","8,774","10,657","9,944","27,488","27,200","45,078","49,038","32,685","38,959","13,785","16,969","9,448","10,206","4,000","4,566",6.7,6.1,5.8,6.8,7.4,8.1,4.7,4.2,5.6,4.7,14.5,13.0,23.7,23.4,17.2,18.6,7.2,8.1,5.0,4.9,2.1,2.2,-0.6,1.0,0.6,-0.6,-0.9,-1.5,-0.3,1.4,0.8,-0.1,0.1
Tower Hamlets,"18,750","19,090","15,531","17,658","15,862","20,675","11,963","15,085","30,818","31,988","73,185","85,181","48,995","69,956","23,422","33,199","8,169","10,379","5,611","5,024","1,790","2,068",7.4,6.2,6.1,5.7,6.2,6.7,4.7,4.9,12.1,10.3,28.8,27.5,19.3,22.5,9.2,10.7,3.2,3.3,2.2,1.6,0.7,0.7,-1.2,-0.4,0.4,0.2,-1.8,-1.4,3.3,1.5,0.1,-0.6,0.0
Waltham Forest,"20,839","18,985","16,463","17,441","17,816","19,818","12,185","11,937","20,604","15,573","50,676","51,078","58,695","69,532","35,405","45,664","13,413","15,999","8,629","8,963","3,524","3,439",8.1,6.8,6.4,6.3,6.9,7.1,4.7,4.3,8.0,5.6,19.6,18.3,22.7,25.0,13.7,16.4,5.2,5.7,3.3,3.2,1.4,1.2,-1.3,-0.1,0.2,-0.4,-2.4,-1.3,2.2,2.7,0.6,-0.1,-0.1
Wandsworth,"21,670","18,702","14,574","16,907","14,762","18,336","10,162","10,424","23,699","23,844","88,957","86,123","70,163","74,694","36,097","47,138","14,455","17,382","8,763","9,932","3,693","4,024",7.1,5.7,4.7,5.2,4.8,5.6,3.3,3.2,7.7,7.3,29.0,26.3,22.9,22.8,11.8,14.4,4.7,5.3,2.9,3.0,1.2,1.2,-1.3,0.4,0.8,-0.1,-0.4,-2.7,0.0,2.6,0.6,0.2,0.0
Westminster,"12,617","8,502","9,726","7,877","10,241","10,389","8,421","8,898","17,490","19,329","54,219","44,167","51,383","43,908","30,785","36,388","13,207","13,645","8,207","8,019","3,100","3,118",5.8,4.2,4.4,3.9,4.7,5.1,3.8,4.4,8.0,9.5,24.7,21.6,23.4,21.5,14.0,17.8,6.0,6.7,3.7,3.9,1.4,1.5,-1.6,-0.6,0.4,0.5,1.5,-3.1,-1.9,3.8,0.7,0.2,0.1
