Area name,2011 One person household: Aged 65 years and over,2021 One person household: Aged 66 years and over,2011 One person household: Other,2021 One person household: Other,2011 Single family household: Couple family household: No children,2021 Single family household: Couple family household: No children,2011 Single family household: Couple family household: Dependent children,2021 Single family household: Couple family household: Dependent children,2011 Single family household: Couple family household: All children non-dependent,2021 Single family household: Couple family household: All children non-dependent,2011 Single family household: Lone parent household,2021 Single family household: Lone parent household,2011 Other household types,2021 Other household types,2011 Percentage: One person household: Aged 65 years and over,2021 Percentage: One person household: Aged 66 years and over,2011 Percentage: One person household: Other,2021 Percentage: One person household: Other,2011 Percentage: Single family household: Couple family household: No children,2021 Percentage: Single family household: Couple family household: No children,2011 Percentage: Single family household: Couple family household: Dependent children,2021 Percentage: Single family household: Couple family household: Dependent children,2011 Percentage: Single family household: Couple family household: All children non-dependent,2021 Percentage: Single family household: Couple family household: All children non-dependent,2011 Percentage: Single family household: Lone parent household,2021 Percentage: Single family household: Lone parent household,2011 Percentage: Other household types,2021 Percentage: Other household types,Percentage point change: One person household: Aged 66 years and over (65 years and over in 2011),Percentage point change: One person household: Other,Percentage point change: Single family household: Couple family household: No children,Percentage point change: Single family household: Couple family household: Dependent children,Percentage point change: Single family household: Couple family household: All children non-dependent,Percentage point change: Single family household: Lone parent household,Percentage point change: Other household types
Merton,"7,695","7,507","14,599","12,957","12,891","12,896","16,317","18,270","4,367","5,266","8,122","9,146","14,766","15,687",9.8,9.2,18.5,15.9,16.4,15.8,20.7,22.4,5.5,6.4,10.3,11.2,18.7,19.2,-0.6,-2.7,-0.6,1.6,0.9,0.9,0.4
Newham,"7,001","6,377","19,535","20,660","8,661","13,753","18,882","23,490","4,712","6,379","14,987","16,971","27,741","27,877",6.9,5.5,19.2,17.9,8.5,11.9,18.6,20.3,4.6,5.5,14.8,14.7,27.3,24.1,-1.4,-1.4,3.4,1.7,0.9,-0.1,-3.2
Redbridge,"9,992","9,669","15,236","14,217","11,804","10,620","23,055","26,258","7,523","9,104","12,103","12,487","19,392","21,359",10.1,9.3,15.4,13.7,11.9,10.2,23.3,25.3,7.6,8.8,12.2,12.0,19.6,20.6,-0.8,-1.7,-1.7,2.1,1.2,-0.2,1.0
Richmond upon Thames,"9,434","10,039","16,574","13,832","14,872","13,599","18,156","20,108","3,762","4,562","6,264","7,078","10,773","11,486",11.8,12.4,20.8,17.1,18.6,16.9,22.7,24.9,4.7,5.7,7.8,8.8,13.5,14.2,0.6,-3.6,-1.8,2.2,0.9,0.9,0.7
Southwark,"9,008","9,507","31,299","33,841","17,194","21,330","16,377","16,595","3,544","4,254","17,104","19,847","25,896","25,444",7.5,7.3,26.0,25.9,14.3,16.3,13.6,12.7,2.9,3.3,14.2,15.2,21.5,19.4,-0.2,-0.1,2.0,-0.9,0.3,1.0,-2.1
Sutton,"9,203","9,497","14,546","12,703","12,238","11,733","17,482","20,164","5,300","6,194","8,502","9,796","10,903","12,262",11.8,11.5,18.6,15.4,15.7,14.2,22.4,24.5,6.8,7.5,10.9,11.9,13.9,14.9,-0.2,-3.2,-1.4,2.1,0.7,1.0,0.9
Tower Hamlets,"6,038","5,786","29,009","32,744","14,909","21,029","15,001","19,753","2,377","3,295","10,759","12,853","23,164","25,078",6.0,4.8,28.6,27.2,14.7,17.4,14.8,16.4,2.3,2.7,10.6,10.7,22.9,20.8,-1.2,-1.5,2.7,1.6,0.4,0.0,-2.1
Waltham Forest,"8,879","8,254","19,877","18,442","11,008","15,265","18,750","20,741","5,359","6,036","13,243","14,705","19,745","19,456",9.2,8.0,20.5,17.9,11.4,14.8,19.4,20.2,5.5,5.9,13.7,14.3,20.4,18.9,-1.1,-2.6,3.5,0.8,0.3,0.6,-1.5
Wandsworth,"10,385","10,880","31,721","30,252","23,909","26,323","19,896","22,546","3,828","4,823","12,338","14,041","28,416","28,528",8.0,7.9,24.3,22.0,18.3,19.2,15.2,16.4,2.9,3.5,9.5,10.2,21.8,20.8,0.0,-2.3,0.8,1.2,0.6,0.8,-1.0
Westminster,"11,035","9,498","36,858","30,945","16,301","14,482","11,597","10,677","2,665","3,077","9,509","9,698","17,807","16,440",10.4,10.0,34.8,32.6,15.4,15.3,11.0,11.3,2.5,3.2,9.0,10.2,16.8,17.3,-0.4,-2.2,-0.1,0.3,0.7,1.2,0.5
